District,total_pop,pop_per_km2
Borski,114816,33
Braničevski,170207,44
Grad Beograd,1687132,522
Jablanički,203254,73
Južno-Bački,617949,153
Južno-Banatski,281203,66
Kolubarski,165273,67
Mačvanski,283007,87
Moravički,202026,67
Nišavski,364157,133
Pčinjski,198671,56
Pirotski,85964,31
Podunavski,189091,151
Pomoravski,202025,77
Rasinski,226808,85
Raški,305954,78
Severno-Bački,180349,101
Severno-Banatski,138371,59
Srednje-Banatski,177308,54
Sremski,300988,86
Šumadijski,284957,119
Toplički,85287,38
Zaječarski,109634,30
Zapadno-Bački,175347,70
Zlatiborski,271080,44
