"","dateRep","day","month","year","cases","deaths","country","geoId","country_code","popData2019","continentExp","Fx14dper100K","total_cases","total_deaths","Diff_cases","Rate_pc_cases","second_der"
"1",2020-11-10,10,11,2020,17395,411,"Spain","ES","ESP",46937060,"Europe",601,1398613,39756,17395,1.26,-34991
"2",2020-11-11,11,11,2020,563,8,"Albania","AL","ALB",2862427,"Europe",194,25294,579,563,2.28,38
"3",2020-11-11,11,11,2020,40,0,"Andorra","AD","AND",76177,"Europe",1401,5477,75,40,0.74,-14
"4",2020-11-11,11,11,2020,2000,27,"Armenia","AM","ARM",2957728,"Europe",948,110687,1636,2000,1.84,779
"5",2020-11-11,11,11,2020,3839,35,"Austria","AT","AUT",8858775,"Europe",839,162051,1418,3839,2.43,-1865
"6",2020-11-11,11,11,2020,1346,15,"Azerbaijan","AZ","AZE",10047719,"Europe",162,67392,867,1346,2.04,711
"7",2020-11-11,11,11,2020,1038,5,"Belarus","BY","BLR",9452409,"Europe",145,108300,1016,1038,0.97,55
"8",2020-11-11,11,11,2020,3,28,"Belgium","BE","BEL",11455519,"Europe",1185,507380,13561,3,0,-2704
"9",2020-11-11,11,11,2020,1605,46,"Bosnia_and_Herzegovina","BA","BIH",3300998,"Europe",662,65024,1629,1605,2.53,609
"10",2020-11-11,11,11,2020,4390,80,"Bulgaria","BG","BGR",7000039,"Europe",581,83366,1851,4390,5.56,574
"11",2020-11-11,11,11,2020,1467,33,"Croatia","HR","HRV",4076246,"Europe",776,70243,865,1467,2.13,-62
"12",2020-11-11,11,11,2020,198,1,"Cyprus","CY","CYP",875899,"Europe",283,6296,29,198,3.25,87
"13",2020-11-11,11,11,2020,9005,249,"Czechia","CZ","CZE",10649800,"Europe",1369,429880,5323,9005,2.14,2958
"14",2020-11-11,11,11,2020,1066,3,"Denmark","DK","DNK",5806081,"Europe",255,56958,750,1066,1.91,295
"15",2020-11-11,11,11,2020,126,0,"Estonia","EE","EST",1324820,"Europe",144,6376,76,126,2.02,1
"16",2020-11-11,11,11,2020,0,0,"Faroe_Islands","FO","FRO",48677,"Europe",6,497,0,0,0,0
"17",2020-11-11,11,11,2020,220,0,"Finland","FI","FIN",5517919,"Europe",53,18107,363,220,1.23,130
"18",2020-11-11,11,11,2020,22180,1220,"France","FR","FRA",67012883,"Europe",942,1829659,42207,22180,1.23,2025
"19",2020-11-11,11,11,2020,2911,45,"Georgia","GE","GEO",3996762,"Europe",818,66561,566,2911,4.57,-59
"20",2020-11-11,11,11,2020,18487,261,"Germany","DE","DEU",83019213,"Europe",291,705687,11767,18487,2.69,3155
"21",2020-11-11,11,11,2020,9,0,"Gibraltar","GI","GIB",33706,"Europe",401,814,0,9,1.12,-3
"22",2020-11-11,11,11,2020,2383,41,"Greece","EL","GRC",10724599,"Europe",259,60570,866,2383,4.1,894
"23",2020-11-11,11,11,2020,3,0,"Guernsey","GG","GGY",64468,"Europe",25,282,13,3,1.08,3
"24",2020-11-11,11,11,2020,0,0,"Holy_See","VA","VAT",815,"Europe",0,26,0,0,0,0
"25",2020-11-11,11,11,2020,3945,101,"Hungary","HU","HUN",9772756,"Europe",583,122863,2697,3945,3.32,-195
"26",2020-11-11,11,11,2020,13,1,"Iceland","IS","ISL",356991,"Europe",151,5114,24,13,0.25,-10
"27",2020-11-11,11,11,2020,230,15,"Ireland","IE","IRL",4904240,"Europe",145,65889,1963,230,0.35,-35
"28",2020-11-11,11,11,2020,2,0,"Isle_of_Man","IM","IMN",84589,"Europe",8,359,25,2,0.56,2
"29",2020-11-11,11,11,2020,35090,580,"Italy","IT","ITA",60359546,"Europe",714,995463,42330,35090,3.65,9821
"30",2020-11-11,11,11,2020,18,0,"Jersey","JE","JEY",107796,"Europe",121,690,32,18,2.68,-11
